Elevation (ft),"Capacity
(acre-feet)",Capacity (TAF),Area (acres)
190,0,0,0
195,1,0.001,0
200,3,0.003,0
205,6,0.006,1
210,11,0.011,2
215,55,0.055,13
220,180,0.18,45
225,543,0.543,97
230,1128,1.128,136
235,1931,1.931,190
240,3037,3.037,249
245,4410,4.41,300
250,6049,6.049,354
255,7976,7.976,420
260,10253,10.253,489
265,12869,12.869,560
270,15844,15.844,630
275,19191,19.191,710
280,22932,22.932,785
285,27051,27.051,864
290,30585,30.585,952
295,36611,36.611,1062
300,42226,42.226,1184
305,48449,48.449,1304
310,55271,55.271,1426
315,62715,62.715,1554
320,70823,70.823,1691
325,79646,79.646,1841
327,83393,83.393,1907
330,89273,89.273,2015
335,99838,99.838,2216
340,111443,111.443,2428
345,124123,124.123,2646
350,137943,137.943,2886
355,153060,153.06,3168
360,169747,169.747,3519
365,188313,188.313,3914
370,208980,208.98,4346
375,231679,231.679,4726
380,256241,256.241,5104
385,282681,282.681,5466
390,310921,310.921,5835
395,341024,341.024,6202
400,372964,372.964,6576
405,406833,406.833,6979
410,442754,442.754,7381
415,480578,480.578,7743
420,520142,520.142,8078
425,561341,561.341,8407
427,578359,578.359,8612
430,604610,604.61,8874
435,649918,649.918,9239
440,696955,696.955,9574
445,745632,745.632,9894
450,795889,795.889,10208
455,847700,847.7,10515
460,900996,900.996,10801
465,955710,955.71,11084
466,966823,966.823,11140
470,1011844,1011.844,11380
475,1069528,1069.528,11687
475.4,1074207,1074.207,11710
480,1128679,1128.679,11973
485,1189200,1189.2,12233
490,1250992,1250.992,12484
